intent;phrase
abrir_conta;Quero abrir uma conta no banco Banco Magnus
abrir_conta;Gostaria de informações para fazer uma conta
abrir_conta;Preciso fazer uma conta nesse banco
abrir_conta;Como faço para ter uma conta benefício?
abrir_conta;É grátis fazer uma conta do Banco Magnus?
abrir_conta;Não consigo abrir conta pelo app?
abrir_conta;Quero receber benefício no banco Banco Magnus
abrir_conta;Não estou conseguindo abrir conta
abrir_conta;Abrir uma conta
abrir_conta;Quero falar sobre abertura de conta
abrir_conta;Está dando erro na abertura de conta
abrir_conta;Como abrir minha conta pelo aplicativo?
abrir_conta;Não tenho conta no Banco Magnus
abrir_conta;Fazer portabilidade para Banco Magnus
abrir_conta;Como eu crio uma conta na mb?
abrir_conta;Criar conta no aplicativo
abrir_conta;Quero ter conta corrente
acessar_conta;Acessar minha conta
acessar_conta;Quero acessar minha conta
acessar_conta;Como faço para ter acesso a minha conta pelo app
acessar_conta;Como acessar a conta sem ir à agencia
acessar_conta;Como entro na minha conta pelo aplicativo?
acessar_conta;Não sei como acessar minha conta no app
acessar_conta;Como eu faço para entrar no meu aplicativo
acessar_conta;Quero fazer um pix, mas não tenho acesso ao aplicativo
acessar_conta;Quero cadastrar dispositivo
acessar_conta;Como fazer primeiro acesso ao app
acessar_conta;Gostaria de ter acesso a minha conta
acessar_conta;Como entrar na conta?
acessar_conta;Meu aplicativo está dando erro no primeiro acesso
acessar_conta;Gostaria de acessar o aplicativo pelo celular
acessar_conta;Como faço pra abrir meu app
acessar_conta;Queria saber como eu entro no aplicativo
acessar_conta;Não estou conseguindo acessar minha conta pelo celular
acessar_conta;Como se entra no app?
acessar_conta;Como utilizar o app do banco?
acessar_conta;Tenho o app mas não consigo logar
acessar_conta;Gostaria ver passo passo do aplicativo para cadastrar
acessar_conta;Não consigo ter acesso a minha conta
alterar_dados_cadastrais;Alterar dados cadastrais
alterar_dados_cadastrais;Troquei meu número de celular
alterar_dados_cadastrais;Não tenho mais acesso a esse número de telefone
alterar_dados_cadastrais;Preciso fazer uma atualização cadastral
alterar_dados_cadastrais;O número de celular que aparece para vir a senha de acesso não é mais meu
alterar_dados_cadastrais;Renovar o meu endereço
alterar_dados_cadastrais;Tem informações erradas no meu cadastro
alterar_dados_cadastrais;Meu número de telefone para receber mensagens está errado
alterar_dados_cadastrais;teria como vocês trocarem o número para receber a senha?
alterar_dados_cadastrais;Quero fazer alteração de contato
alterar_dados_cadastrais;Quero solicitar mudança de telefone
alterar_dados_cadastrais;Gostaria de trocar telefones
